2021-02-24 11:01:27 Line: 11, : Request start: ::1
2021-02-24 11:01:28 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-24 11:01:28 Line: 96, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2021-02-24 11:02:12 Line: 11, : Request start: ::1
2021-02-24 11:02:35 Line: 11, : Request start: ::1
2021-02-24 11:03:49 Line: 11, : Request start: ::1
2021-02-24 11:04:06 Line: 11, : Request start: ::1
2021-02-24 11:07:14 Line: 11, : Request start: ::1
2021-02-24 11:08:59 Line: 11, : Request start: ::1
2021-02-24 11:09:36 Line: 11, : Request start: ::1
2021-02-24 11:19:52 Line: 11, : Request start: ::1
2021-02-24 11:20:05 Line: 11, : Request start: ::1
2021-02-24 11:20:52 Line: 11, : Request start: ::1
2021-02-24 11:21:33 Line: 11, : Request start: ::1
2021-02-24 11:21:33 Line: 236, APISubiektGT\SubiektGT\Product->addTowar: Utworzono produkt: !CODE10287
2021-02-24 11:21:33 Line: 96, APISubiektGT\SubiektGT\product->addTowar: Request finish: ::1
2021-02-24 11:23:19 Line: 11, : Request start: ::1
2021-02-24 11:23:28 Line: 11, : Request start: ::1
2021-02-24 11:23:28 Line: 96, APISubiektGT\SubiektGT\order->makesaledoc: Request finish: ::1
2021-02-24 11:24:06 Line: 11, : Request start: ::1
2021-02-24 11:24:13 Line: 11, : Request start: ::1
2021-02-24 11:24:13 Line: 236, APISubiektGT\SubiektGT\Product->addTowar: Utworzono produkt: !CODE69174
2021-02-24 11:24:14 Line: 96, APISubiektGT\SubiektGT\product->addTowar: Request finish: ::1
2021-02-24 11:24:22 Line: 11, : Request start: ::1
2021-02-24 11:24:23 Line: 236, APISubiektGT\SubiektGT\Product->addTowar: Utworzono produkt: !CODE17736
2021-02-24 11:24:23 Line: 96, APISubiektGT\SubiektGT\product->addTowar: Request finish: ::1
2021-02-24 11:25:12 Line: 11, : Request start: ::1
2021-02-24 11:25:12 Line: 236, APISubiektGT\SubiektGT\Product->addTowar: Utworzono produkt: !CODE39125
2021-02-24 11:25:12 Line: 96, APISubiektGT\SubiektGT\product->addTowar: Request finish: ::1
2021-02-24 11:26:17 Line: 11, : Request start: ::1
2021-02-24 11:27:34 Line: 11, : Request start: ::1
2021-02-24 11:27:56 Line: 11, : Request start: ::1
2021-02-24 11:27:56 Line: 237, APISubiektGT\SubiektGT\Product->addTowar: Utworzono produkt: !CODE95776
2021-02-24 11:27:56 Line: 96, APISubiektGT\SubiektGT\product->addTowar: Request finish: ::1
2021-02-24 11:28:14 Line: 11, : Request start: ::1
2021-02-24 11:28:27 Line: 11, : Request start: ::1
2021-02-24 11:28:27 Line: 237, APISubiektGT\SubiektGT\Product->addTowar: Utworzono produkt: !CODE25501
2021-02-24 11:28:27 Line: 96, APISubiektGT\SubiektGT\product->addTowar: Request finish: ::1
2021-02-24 11:28:47 Line: 11, : Request start: ::1
2021-02-24 11:28:47 Line: 237, APISubiektGT\SubiektGT\Product->addTowar: Utworzono produkt: !CODE83765
2021-02-24 11:28:47 Line: 96, APISubiektGT\SubiektGT\product->addTowar: Request finish: ::1
2021-02-24 11:28:50 Line: 11, : Request start: ::1
2021-02-24 11:29:02 Line: 11, : Request start: ::1
2021-02-24 11:29:16 Line: 11, : Request start: ::1
2021-02-24 11:29:16 Line: 239, APISubiektGT\SubiektGT\Product->addTowar: Utworzono produkt: !CODE66561
2021-02-24 11:29:16 Line: 96, APISubiektGT\SubiektGT\product->addTowar: Request finish: ::1
2021-02-24 11:31:05 Line: 11, : Request start: ::1
2021-02-24 11:31:32 Line: 11, : Request start: ::1
2021-02-24 11:32:26 Line: 11, : Request start: ::1
2021-02-24 11:33:35 Line: 11, : Request start: ::1
2021-02-24 11:34:33 Line: 11, : Request start: ::1
2021-02-24 11:34:49 Line: 11, : Request start: ::1
2021-02-24 11:36:29 Line: 11, : Request start: ::1
2021-02-24 11:36:29 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 47
2021-02-24 11:36:29 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 51
2021-02-24 11:36:29 Line: 67, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: TEST0102
2021-02-24 11:36:29 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 51
2021-02-24 11:36:29 Line: 67, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: TEST0102
2021-02-24 11:36:29 Line: 284, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: ZK 6/2021
2021-02-24 11:36:29 Line: 96, APISubiektGT\SubiektGT\order->add: Request finish: ::1
2021-02-24 11:37:22 Line: 11, : Request start: ::1
2021-02-24 11:40:49 Line: 11, : Request start: ::1
2021-02-24 11:40:58 Line: 11, : Request start: ::1
2021-02-24 11:41:03 Line: 11, : Request start: ::1
2021-02-24 11:44:19 Line: 11, : Request start: ::1
2021-02-24 11:44:39 Line: 11, : Request start: ::1
2021-02-24 11:45:34 Line: 11, : Request start: ::1
2021-02-24 11:45:42 Line: 11, : Request start: ::1
2021-02-24 11:46:05 Line: 11, : Request start: ::1
2021-02-24 11:52:04 Line: 11, : Request start: ::1
2021-02-24 11:52:04 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 47
2021-02-24 11:52:04 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 51
2021-02-24 11:52:04 Line: 67, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: TEST0102
2021-02-24 11:52:04 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 51
2021-02-24 11:52:04 Line: 67, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: TEST0102
2021-02-24 11:52:04 Line: 284, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: ZK 8/2021
2021-02-24 11:52:04 Line: 96, APISubiektGT\SubiektGT\order->add: Request finish: ::1
2021-02-24 11:55:39 Line: 11, : Request start: ::1
2021-02-24 11:55:40 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 195
2021-02-24 11:55:40 Line: 96, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2021-02-24 11:56:35 Line: 11, : Request start: ::1
2021-02-24 11:56:35 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 47
2021-02-24 11:56:35 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 51
2021-02-24 11:56:35 Line: 67, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: TEST0102
2021-02-24 11:56:35 Line: 284, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: ZK 7/2021
2021-02-24 11:56:35 Line: 96, APISubiektGT\SubiektGT\order->add: Request finish: ::1
2021-02-24 11:56:37 Line: 11, : Request start: ::1
2021-02-24 11:56:38 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 47
2021-02-24 11:56:38 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 51
2021-02-24 11:56:38 Line: 67, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: TEST0102
2021-02-24 11:56:38 Line: 284, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: ZK 8/2021
2021-02-24 11:56:38 Line: 96, APISubiektGT\SubiektGT\order->add: Request finish: ::1
2021-02-24 11:56:38 Line: 11, : Request start: ::1
2021-02-24 11:56:39 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 47
2021-02-24 11:56:39 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 51
2021-02-24 11:56:39 Line: 67, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: TEST0102
2021-02-24 11:56:39 Line: 284, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: ZK 9/2021
2021-02-24 11:56:39 Line: 96, APISubiektGT\SubiektGT\order->add: Request finish: ::1
2021-02-24 11:57:10 Line: 11, : Request start: ::1
2021-02-24 11:57:10 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 47
2021-02-24 11:57:10 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 51
2021-02-24 11:57:10 Line: 67, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: TEST0102
2021-02-24 11:57:10 Line: 284, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: ZK 10/2021
2021-02-24 11:57:10 Line: 96, APISubiektGT\SubiektGT\order->add: Request finish: ::1
2021-02-24 11:57:14 Line: 11, : Request start: ::1
2021-02-24 12:00:28 Line: 11, : Request start: ::1
2021-02-24 12:00:29 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 290
2021-02-24 12:00:29 Line: 96, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2021-02-24 12:00:55 Line: 11, : Request start: ::1
2021-02-24 12:01:10 Line: 11, : Request start: ::1
2021-02-24 12:17:35 Line: 11, : Request start: ::1
2021-02-24 12:17:40 Line: 11, : Request start: ::1
2021-02-24 12:17:45 Line: 11, : Request start: ::1
2021-02-24 12:17:58 Line: 11, : Request start: ::1
2021-02-24 12:18:37 Line: 11, : Request start: ::1
2021-02-24 12:18:42 Line: 11, : Request start: ::1
2021-02-24 12:18:44 Line: 11, : Request start: ::1
2021-02-24 12:19:25 Line: 11, : Request start: ::1
2021-02-24 12:19:31 Line: 11, : Request start: ::1
2021-02-24 12:19:37 Line: 11, : Request start: ::1
2021-02-24 12:19:39 Line: 11, : Request start: ::1
2021-02-24 12:19:40 Line: 11, : Request start: ::1
2021-02-24 12:19:41 Line: 11, : Request start: ::1
